company_id,company_name,industry,employees,annual_revenue,energy_consumption,water_consumption,waste_generated,recycling_rate,renewable_energy,transport_emissions,carbon_emissions,sustainability_score
1,Company_0001,Retail,17,14882699.9,211015.65,7407.13,106.98,72.96,54.54,592.54,423.69,42.56
2,Company_0002,Agriculture,263,12119970.84,457771.15,35942.97,702.82,45.66,44.92,281.8,371.56,35.62
3,Company_0003,Logistics,362,8567765.08,236739.65,11158.03,764.68,18.69,37.99,362.18,384.32,21.14
4,Company_0004,Manufacturing,378,9296612.62,117364.41,46153.62,83.41,34.92,62.86,886.02,566.23,28.87
5,Company_0005,Retail,28,13293013.71,622993.31,49268.47,856.04,83.65,38.01,456.14,541.16,27.38
6,Company_0006,Technology,112,13469468.45,567419.84,34335.61,76.05,63.97,53.41,248.59,293.17,48.76
7,Company_0007,Agriculture,355,6620798.14,619284.59,3268.93,822.69,78.43,40.12,70.86,302.48,42.9
8,Company_0008,Technology,113,13177685.57,328592.88,45770.11,461.56,32.51,24.66,563.56,484.26,23.92
9,Company_0009,Hospitality,190,4542551.03,798079.33,25721.55,95.45,14,10.96,629.31,575.58,14.94
10,Company_0010,Retail,202,7756061.87,796974.68,26691.16,971.22,83.17,1.15,722.12,764.56,11.02
11,Company_0011,Healthcare,398,12891043.61,107010.7,22020.88,456.46,91.07,87.59,267.07,245.45,59.09
12,Company_0012,Retail,450,12580943.83,676502.09,25629.31,202.92,41.78,16.15,953.73,753.35,17.66
13,Company_0013,Technology,255,585639.5,744696.92,43996.73,832.51,36.14,5.79,878.62,819.28,0
14,Company_0014,Construction,422,1570407.87,613269.69,38408.8,132.75,50.4,54.98,268.73,317.02,45.32
15,Company_0015,Agriculture,480,10878062.56,589346.23,10456.98,315.16,94.59,64.99,440.91,448.81,46.48
16,Company_0016,Agriculture,37,6894094.13,478880.8,11890.68,224.12,16.03,63.11,232.8,274.91,43.68
17,Company_0017,Retail,268,4912491.76,541802.67,11104.72,136.65,89.52,57.1,475.31,425.44,53.89
18,Company_0018,Agriculture,53,2119230.12,356219.92,21467.14,469.69,71.97,67.34,984.24,748.08,27.21
19,Company_0019,Technology,414,17261116.22,213951.94,9915.34,451.37,45.86,27.85,253.56,254.86,38.08
20,Company_0020,Retail,30,13112468.9,441658.59,1230.51,97.8,74.05,23.64,409.38,361.09,47.61
21,Company_0021,Manufacturing,89,7703667.76,788540.9,13627.55,785.15,48.68,42.3,957.53,869.52,7.9
22,Company_0022,Construction,84,3959977.77,189806.7,3394.92,737.06,15.18,31.36,54.89,181.41,35.98
23,Company_0023,Logistics,34,19223422.28,82486.94,9698.34,597.06,67.39,23.52,124.29,166.95,43.2
24,Company_0024,Manufacturing,322,1823271.43,532751.07,28478.73,319.79,32.17,66.97,317.61,366.41,35.43
25,Company_0025,Healthcare,239,6460308.49,606454.3,4090.88,460.99,94.87,99.61,77.89,263.23,62.37
26,Company_0026,Technology,456,1562068.02,210541.84,14606.88,440.99,56.17,30.25,983.93,693,20.22
27,Company_0027,Healthcare,482,13335096.56,752365.4,7147.41,119.85,19.1,55.32,275.99,359.57,38.54
28,Company_0028,Agriculture,356,12757911.59,225907.44,24682.33,905.81,81.92,9.23,426.46,442.69,23.9
29,Company_0029,Logistics,331,19599999.49,146033.94,22370.86,707.14,57.68,11.19,945.33,695.96,9.51
30,Company_0030,Manufacturing,432,7510476.49,450969.58,21774.44,46.62,41,93.31,972.34,702.34,31.79
31,Company_0031,Agriculture,346,2235313.71,628490.67,44264.67,409.35,62.76,15.46,930.23,759.37,20.46
32,Company_0032,Logistics,456,8363429.33,159901.32,46262.12,783.47,45,66.99,736.38,594.36,21.73
33,Company_0033,Retail,200,17468902.3,689702.74,11510.47,817.5,49.13,30.52,796.37,768.32,4.99
34,Company_0034,Agriculture,209,6699586.63,694195.29,48361.01,282.73,64.53,39.97,981.24,793.98,25.29
35,Company_0035,Retail,454,19413932.1,159282.9,48145.45,269.14,19.21,43.46,729.9,511.86,25.6
36,Company_0036,Retail,202,18010193.71,168261.44,2697.13,438.88,54.19,80.65,688.42,502.14,41.45
37,Company_0037,Agriculture,191,8739688.51,760122.1,46078.16,625.04,66.39,12.46,900.55,813.97,12.25
38,Company_0038,Technology,211,14004726.6,452441.73,9996.08,666.6,42.23,74.81,178.16,308.61,40.82
