ID,Product_Type,Raw_Material_Usage_kg,Energy_Consumption_kWh,Waste_Generated_kg,Transport_Distance_km,CO2_Emissions_kg,Column2,Manufacturing_Energy_kWh,Renewable_Energy_%,Cost_$,Column1,Delivery_Time_days,Sustainability_Score,Recyclability Score (0-1),Carbon Footprint (kg CO2)
1,Pharmaceutical,187.1024737,372.3455246,4.580996539,2708.230192,206.0725011,,195.0220972,77.31280096,4696.896464,,2,81.25,0,319
2,Food,117.3753049,82.4379512,31.49481997,605.9985435,794.0033594,,784.2067289,31.89912396,989.7217875,,4,37.55,1,628
3,Automotive,142.3636565,82.06552749,49.077714,945.366997,166.3729689,,775.0472638,16.86311767,1321.186084,,2,41.17,1,905
4,Food,185.2748824,55.44881386,10.31527484,2883.074057,653.1613262,,214.6102705,46.87720162,1464.672539,,1,56.79,0,47
5,Food,144.3753405,480.4256292,39.8371607,1552.152306,167.6537254,,309.5961874,13.99693549,381.5366554,,10,45.27,1,822
6,Apparel,38.98241815,381.8787618,45.4870409,4697.74707,117.0088557,,170.1084983,17.73802164,790.6501932,,13,45.58,0,403
7,Automotive,119.4947884,208.9631338,47.24137805,4111.827124,913.9580285,,290.2023192,25.35725724,4934.47963,,13,16.49,1,283
8,Automotive,125.2758588,183.4410116,48.04664462,4919.479312,230.622328,,671.1690526,42.50451749,1713.040339,,3,51.69,1,242
9,Automotive,90.58482755,207.3664534,26.5515223,1372.387111,830.1876468,,364.820925,40.32756526,753.4452336,,12,43.13,1,436
10,Food,149.9244048,398.594089,48.88808749,4851.645801,567.3993276,,161.877877,65.97843034,713.5580536,,8,54.98,0,672
11,Pharmaceutical,187.5297328,347.616775,38.10820015,2213.045962,123.9636936,,339.5578673,61.76322577,3653.407845,,6,64.61,0,548
12,Automotive,185.8580175,133.3380055,8.921900376,1802.842097,957.6757819,,786.968334,39.84228058,4301.929587,,12,39.02,0,68
13,Food,95.65948057,128.3492009,24.36810522,346.7126821,284.6131086,,540.7785167,33.35929453,1433.371038,,7,55.53,1,747
14,Apparel,31.51522871,94.27804237,36.19822759,358.5497635,866.6630781,,391.3126625,32.15281488,300.3656592,,2,35,1,744
15,Pharmaceutical,197.1198278,347.1362239,13.11967548,3490.855154,210.3695055,,216.5769594,64.17965611,1270.832089,,6,77.99,0,742
16,Apparel,169.3906364,393.967698,32.39014399,2343.852073,861.245738,,790.3237581,13.64506844,471.2753158,,14,27.09,1,365
17,Pharmaceutical,33.68590943,169.2708927,33.66342347,1209.955968,62.56737226,,674.5943065,10.89751547,696.2956958,,8,48.71,1,309
